Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,Shear Stress,Order
1.0,1.3043,360.03,8266.521158,8178.829368,0.6941536372819151,9.0
3.0,1.3043,360.03,8178.829368,8178.767534,0.6941536372819151,9.0
101.0,0.49631,99.014,7992.803155,7991.654529,3.4648698375184126,6.0
186.0,0.49631,99.014,7991.654529,7990.841321,3.4648698375184126,6.0
187.0,0.49631,99.014,7990.841321,7989.692687,3.4648698375184126,6.0
188.0,0.49631,99.014,7989.692687,7988.544048,3.4648698375184126,6.0
189.0,0.49631,99.014,7988.544048,7987.732848,3.4648698375184126,6.0
190.0,0.49631,99.014,7987.732848,7986.921648,3.4648698375184126,6.0
191.0,0.49631,99.014,7986.921648,7986.110448,3.4648698375184126,6.0
192.0,0.49631,99.014,7986.110448,7984.961804,3.4648698375184126,6.0
193.0,0.49631,99.014,7984.961804,7984.150604,3.4648698375184126,6.0
194.0,0.49631,99.014,7984.150604,7983.001957,3.4648698375184126,6.0
195.0,0.49631,99.014,7983.001957,7982.190757,3.4648698375184126,6.0
196.0,0.49631,99.014,7982.190757,7981.042105,3.4648698375184126,6.0
197.0,0.49631,99.014,7981.042105,7980.230905,3.4648698375184126,6.0
198.0,0.49631,99.014,7980.230905,7979.082249,3.4648698375184126,6.0
199.0,0.49631,99.014,7979.082249,7978.271049,3.4648698375184126,6.0
200.0,0.49631,99.014,7978.271049,7977.459849,3.4648698375184126,6.0
201.0,0.49631,99.014,7977.459849,7976.311188,3.4648698375184126,6.0
202.0,0.49631,99.014,7976.311188,7975.499988,3.4648698375184126,6.0
203.0,0.49631,99.014,7975.499988,7974.688788,3.4648698375184126,6.0
204.0,0.49631,99.014,7974.688788,7973.540123,3.4648698375184126,6.0
205.0,0.49631,99.014,7973.540123,7972.391454,3.4648698375184126,6.0
206.0,0.49631,99.014,7972.391454,7971.580254,3.4648698375184126,6.0
207.0,0.49631,99.014,7971.580254,7970.43158,3.4648698375184126,6.0
208.0,0.49631,99.014,7970.43158,7969.62038,3.4648698375184126,6.0
209.0,0.49631,99.014,7969.62038,7968.471702,3.4648698375184126,6.0
210.0,0.49631,99.014,7968.471702,7967.660502,3.4648698375184126,6.0
211.0,0.49631,99.014,7967.660502,7966.849302,3.4648698375184126,6.0
212.0,0.49631,99.014,7966.849302,7965.70062,3.4648698375184126,6.0
213.0,0.49631,99.014,7965.70062,7964.88942,3.4648698375184126,6.0
214.0,0.49631,99.014,7964.88942,7964.07822,3.4648698375184126,6.0
215.0,0.49631,99.014,7964.07822,7962.929533,3.4648698375184126,6.0
216.0,0.49631,98.669,7962.929533,7961.784844,3.45279699838512,6.0
217.0,0.49631,98.669,7961.784844,7960.640151,3.45279699838512,6.0
218.0,0.49631,98.669,7960.640151,7959.495454,3.45279699838512,6.0
219.0,0.49631,98.669,7959.495454,7958.350752,3.45279699838512,6.0
220.0,0.49631,98.669,7958.350752,7957.542379,3.45279699838512,6.0
221.0,0.49631,98.669,7957.542379,7956.397673,3.45279699838512,6.0
222.0,0.49631,98.669,7956.397673,7955.252962,3.45279699838512,6.0
223.0,0.49631,98.669,7955.252962,7954.444589,3.45279699838512,6.0
224.0,0.49631,98.669,7954.444589,7953.299874,3.45279699838512,6.0
225.0,0.49631,98.669,7953.299874,7952.155154,3.45279699838512,6.0
226.0,0.49631,98.669,7952.155154,7951.346781,3.45279699838512,6.0
227.0,0.49631,98.669,7951.346781,7950.202057,3.45279699838512,6.0
228.0,0.49631,98.669,7950.202057,7949.057328,3.45279699838512,6.0
229.0,0.49631,98.669,7949.057328,7947.912594,3.45279699838512,6.0
230.0,0.49631,98.669,7947.912594,7947.104221,3.45279699838512,6.0
231.0,0.49631,98.669,7947.104221,7945.959483,3.45279699838512,6.0
232.0,0.49631,98.669,7945.959483,7945.15111,3.45279699838512,6.0
233.0,0.49631,98.669,7945.15111,7944.006368,3.45279699838512,6.0
234.0,0.49631,98.669,7944.006368,7942.86162,3.45279699838512,6.0
235.0,0.49631,98.669,7942.86162,7941.716868,3.45279699838512,6.0
236.0,0.49631,98.669,7941.716868,7940.392497,3.45279699838512,6.0
237.0,0.49631,98.669,7940.392497,7939.247734,3.45279699838512,6.0
238.0,0.49631,98.669,7939.247734,7938.102966,3.45279699838512,6.0
239.0,0.49631,98.669,7938.102966,7936.958193,3.45279699838512,6.0
240.0,0.49631,98.669,7936.958193,7935.813416,3.45279699838512,6.0
241.0,0.49631,98.669,7935.813416,7934.668634,3.45279699838512,6.0
242.0,0.49631,98.669,7934.668634,7933.523847,3.45279699838512,6.0
243.0,0.49631,98.669,7933.523847,7932.379056,3.45279699838512,6.0
244.0,0.49631,98.669,7932.379056,7931.23426,3.45279699838512,6.0
245.0,0.49631,98.669,7931.23426,7930.425887,3.45279699838512,6.0
247.0,0.49631,98.321,7930.425887,7929.618127,3.4406191780419726,6.0
466.0,0.49631,98.321,7929.618127,7928.81036,3.4406191780419726,6.0
467.0,0.49631,98.321,7928.81036,7928.002586,3.4406191780419726,6.0
468.0,0.49631,98.321,7928.002586,7927.194806,3.4406191780419726,6.0
469.0,0.49631,98.321,7927.194806,7926.387019,3.4406191780419726,6.0
470.0,0.49631,98.321,7926.387019,7925.24623,3.4406191780419726,6.0
471.0,0.49631,98.321,7925.24623,7924.43843,3.4406191780419726,6.0
472.0,0.49631,98.321,7924.43843,7923.630622,3.4406191780419726,6.0
473.0,0.49631,98.321,7923.630622,7922.822808,3.4406191780419726,6.0
474.0,0.49631,98.321,7922.822808,7921.682,3.4406191780419726,6.0
475.0,0.49631,98.321,7921.682,7920.874172,3.4406191780419726,6.0
476.0,0.49631,98.321,7920.874172,7919.733355,3.4406191780419726,6.0
477.0,0.49631,98.321,7919.733355,7918.925513,3.4406191780419726,6.0
478.0,0.49631,98.321,7918.925513,7918.117665,3.4406191780419726,6.0
479.0,0.49631,98.321,7918.117665,7916.976833,3.4406191780419726,6.0
480.0,0.49631,98.321,7916.976833,7916.16897,3.4406191780419726,6.0
481.0,0.49631,98.321,7916.16897,7915.361101,3.4406191780419726,6.0
482.0,0.49631,98.321,7915.361101,7914.220254,3.4406191780419726,6.0
483.0,0.49631,98.321,7914.220254,7913.41237,3.4406191780419726,6.0
484.0,0.49631,98.321,7913.41237,7912.60448,3.4406191780419726,6.0
485.0,0.49631,98.321,7912.60448,7911.796583,3.4406191780419726,6.0
486.0,0.49631,95.0,7911.796583,7910.69425,3.324404978732798,6.0
487.0,0.49631,95.0,7910.69425,7909.591912,3.324404978732798,6.0
488.0,0.49631,95.0,7909.591912,7908.811282,3.324404978732798,6.0
489.0,0.49631,95.0,7908.811282,7908.030644,3.324404978732798,6.0
490.0,0.49631,95.0,7908.030644,7907.25,3.324404978732798,6.0
491.0,0.49631,95.0,7907.25,7906.469349,3.324404978732798,6.0
492.0,0.49631,95.0,7906.469349,7905.688691,3.324404978732798,6.0
493.0,0.49631,95.0,7905.688691,7904.586323,3.324404978732798,6.0
494.0,0.49631,95.0,7904.586323,7903.805651,3.324404978732798,6.0
495.0,0.49631,95.0,7903.805651,7902.703274,3.324404978732798,6.0
496.0,0.49631,95.0,7902.703274,7901.922588,3.324404978732798,6.0
497.0,0.49631,95.0,7901.922588,7900.702504,3.324404978732798,6.0
498.0,0.49631,95.0,7900.702504,7899.921803,3.324404978732798,6.0
499.0,0.49631,95.0,7899.921803,7899.141094,3.324404978732798,6.0
500.0,0.49631,95.0,7899.141094,7898.038692,3.324404978732798,6.0
501.0,0.49631,95.0,7898.038692,7897.257969,3.324404978732798,6.0
502.0,0.49631,95.0,7897.257969,7896.155556,3.324404978732798,6.0
503.0,0.49631,95.0,7896.155556,7895.374818,3.324404978732798,6.0
504.0,0.49631,95.0,7895.374818,7894.594074,3.324404978732798,6.0
505.0,0.49631,71.573,7894.594074,7894.007689,2.5046067109772894,6.0
758.0,1.3043,2181.6,7890.765366,7890.390494,4.206220523551443,9.0
759.0,1.3043,1424.4,7890.765366,7890.419308,2.7463056993704975,9.0
858.0,0.49631,71.573,7894.007689,7893.421305,2.5046067109772894,6.0
859.0,0.49631,71.573,7893.421305,7892.590734,2.5046067109772894,6.0
860.0,0.49631,71.573,7892.590734,7892.002509,2.5046067109772894,6.0
861.0,0.49631,71.573,7892.002509,7891.17193,2.5046067109772894,6.0
862.0,0.49631,71.573,7891.17193,7890.341347,2.5046067109772894,6.0
863.0,0.49631,71.573,7890.341347,7889.753106,2.5046067109772894,6.0
864.0,0.49631,71.573,7889.753106,7888.922515,2.5046067109772894,6.0
865.0,0.49631,71.573,7888.922515,7888.09192,2.5046067109772894,6.0
866.0,0.49631,71.573,7888.09192,7887.503661,2.5046067109772894,6.0
867.0,0.49631,71.573,7887.503661,7886.673058,2.5046067109772894,6.0
868.0,0.49631,71.573,7886.673058,7886.084788,2.5046067109772894,6.0
869.0,0.49631,71.573,7886.084788,7885.254176,2.5046067109772894,6.0
870.0,0.49631,71.573,7885.254176,7884.423561,2.5046067109772894,6.0
871.0,0.49631,71.573,7884.423561,7883.835274,2.5046067109772894,6.0
872.0,0.49631,71.573,7883.835274,7883.00465,2.5046067109772894,6.0
873.0,0.49631,71.573,7883.00465,7882.416351,2.5046067109772894,6.0
874.0,0.49631,71.573,7882.416351,7881.828046,2.5046067109772894,6.0
875.0,0.49631,71.573,7881.828046,7880.99741,2.5046067109772894,6.0
876.0,0.49631,71.573,7880.99741,7880.409094,2.5046067109772894,6.0
877.0,0.49631,71.573,7880.409094,7879.578449,2.5046067109772894,6.0
878.0,0.49631,71.573,7879.578449,7878.990121,2.5046067109772894,6.0
879.0,0.49631,71.573,7878.990121,7878.159468,2.5046067109772894,6.0
880.0,0.49631,71.573,7878.159468,7877.571128,2.5046067109772894,6.0
881.0,0.49631,71.573,7877.571128,7876.740467,2.5046067109772894,6.0
882.0,0.49631,71.573,7876.740467,7875.909802,2.5046067109772894,6.0
883.0,0.49631,71.573,7875.909802,7875.321443,2.5046067109772894,6.0
884.0,0.49631,71.573,7875.321443,7874.49077,2.5046067109772894,6.0
885.0,0.49631,71.573,7874.49077,7873.902399,2.5046067109772894,6.0
886.0,0.49631,71.573,7873.902399,7873.071717,2.5046067109772894,6.0
887.0,0.49631,71.573,7873.071717,7872.483334,2.5046067109772894,6.0
888.0,0.49631,71.573,7872.483334,7871.652643,2.5046067109772894,6.0
889.0,0.49631,71.573,7871.652643,7870.821948,2.5046067109772894,6.0
890.0,0.49631,71.573,7870.821948,7870.233547,2.5046067109772894,6.0
891.0,0.49631,71.573,7870.233547,7869.402843,2.5046067109772894,6.0
892.0,0.49631,71.573,7869.402843,7868.572134,2.5046067109772894,6.0
893.0,0.49631,71.573,7868.572134,7867.983714,2.5046067109772894,6.0
894.0,0.49631,71.573,7867.983714,7867.152997,2.5046067109772894,6.0
895.0,0.49631,71.573,7867.152997,7866.564565,2.5046067109772894,6.0
896.0,0.49631,71.573,7866.564565,7865.733839,2.5046067109772894,6.0
897.0,0.49631,71.573,7865.733839,7864.903108,2.5046067109772894,6.0
898.0,0.49631,69.583,7864.903108,7864.331018,2.434969175106992,6.0
899.0,0.49631,69.583,7864.331018,7863.523376,2.434969175106992,6.0
900.0,0.49631,69.583,7863.523376,7862.951273,2.434969175106992,6.0
901.0,0.49631,69.583,7862.951273,7862.143622,2.434969175106992,6.0
902.0,0.49631,69.583,7862.143622,7861.335966,2.434969175106992,6.0
903.0,0.49631,69.583,7861.335966,7860.763845,2.434969175106992,6.0
904.0,0.49631,69.583,7860.763845,7859.956181,2.434969175106992,6.0
905.0,0.49631,69.583,7859.956181,7859.148512,2.434969175106992,6.0
906.0,0.49631,69.583,7859.148512,7858.340838,2.434969175106992,6.0
907.0,0.49631,69.583,7858.340838,7857.533161,2.434969175106992,6.0
908.0,0.49631,69.583,7857.533161,7856.725478,2.434969175106992,6.0
909.0,0.49631,69.583,7856.725478,7856.153319,2.434969175106992,6.0
910.0,0.49631,69.583,7856.153319,7855.345628,2.434969175106992,6.0
911.0,0.49631,69.583,7855.345628,7854.537932,2.434969175106992,6.0
912.0,0.49631,69.583,7854.537932,7853.730231,2.434969175106992,6.0
913.0,0.49631,69.583,7853.730231,7852.922526,2.434969175106992,6.0
914.0,0.49631,69.583,7852.922526,7852.350334,2.434969175106992,6.0
915.0,0.49631,69.583,7852.350334,7851.54262,2.434969175106992,6.0
916.0,0.49631,69.583,7851.54262,7850.734901,2.434969175106992,6.0
917.0,0.49631,69.583,7850.734901,7850.16269,2.434969175106992,6.0
918.0,0.49631,69.583,7850.16269,7849.590472,2.434969175106992,6.0
919.0,0.49631,69.583,7849.590472,7848.782739,2.434969175106992,6.0
920.0,0.49631,69.583,7848.782739,7847.975001,2.434969175106992,6.0
921.0,0.49631,69.583,7847.975001,7847.402763,2.434969175106992,6.0
922.0,0.49631,69.583,7847.402763,7846.595016,2.434969175106992,6.0
923.0,0.49631,69.583,7846.595016,7845.787264,2.434969175106992,6.0
924.0,0.49631,69.583,7845.787264,7845.215006,2.434969175106992,6.0
925.0,0.49631,69.583,7845.215006,7844.407244,2.434969175106992,6.0
926.0,0.49631,69.583,7844.407244,7843.834973,2.434969175106992,6.0
927.0,0.49631,69.583,7843.834973,7843.027202,2.434969175106992,6.0
928.0,0.49631,69.583,7843.027202,7842.454917,2.434969175106992,6.0
929.0,0.49631,69.583,7842.454917,7841.647136,2.434969175106992,6.0
930.0,0.49631,69.583,7841.647136,7841.074837,2.434969175106992,6.0
931.0,0.49631,69.583,7841.074837,7840.502531,2.434969175106992,6.0
932.0,0.49631,69.583,7840.502531,7839.694735,2.434969175106992,6.0
933.0,0.49631,69.583,7839.694735,7839.122416,2.434969175106992,6.0
934.0,0.49631,69.583,7839.122416,7838.550089,2.434969175106992,6.0
935.0,0.49631,69.583,7838.550089,7837.742279,2.434969175106992,6.0
936.0,0.49631,69.583,7837.742279,7836.934463,2.434969175106992,6.0
938.0,0.49631,60.549,7836.934463,7836.436423,2.1188357584978124,6.0
1153.0,1.3043,2181.6,7890.390494,7890.015622,4.206220523551443,9.0
1154.0,1.3043,2181.6,7890.015622,7889.640751,4.206220523551443,9.0
1155.0,1.3043,2181.6,7889.640751,7889.265881,4.206220523551443,9.0
1156.0,1.3043,2181.6,7889.265881,7888.891011,4.206220523551443,9.0
1157.0,1.3043,2181.6,7888.891011,7888.516143,4.206220523551443,9.0
1158.0,1.3043,2181.6,7888.516143,7888.141275,4.206220523551443,9.0
1159.0,1.3043,2181.6,7888.141275,7887.766408,4.206220523551443,9.0
1160.0,1.3043,2181.6,7887.766408,7887.391542,4.206220523551443,9.0
