Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
565.0,0.68491,149.42,7412.147186,7411.803268,7.0
1109.0,0.68491,130.37,7350.634961,7350.210384,7.0
1110.0,0.68491,149.42,7411.803268,7411.459349,7.0
1111.0,0.68491,149.42,7411.459349,7411.115431,7.0
1112.0,0.68491,149.42,7411.115431,7410.628253,7.0
1113.0,0.68491,149.42,7410.628253,7410.284334,7.0
1114.0,0.68491,149.42,7410.284334,7409.797153,7.0
1115.0,0.68491,149.42,7409.797153,7409.453234,7.0
1116.0,0.68491,149.42,7409.453234,7408.96605,7.0
1117.0,0.68491,149.42,7408.96605,7408.478861,7.0
1118.0,0.68491,149.42,7408.478861,7407.991669,7.0
1119.0,0.68491,149.42,7407.991669,7407.504474,7.0
1120.0,0.68491,149.42,7407.504474,7407.15939,7.0
1121.0,0.68491,149.42,7407.15939,7406.672188,7.0
1122.0,0.68491,149.42,7406.672188,7406.184982,7.0
1123.0,0.68491,149.42,7406.184982,7405.697772,7.0
1124.0,0.68491,149.42,7405.697772,7405.352668,7.0
1125.0,0.68491,149.42,7405.352668,7405.007559,7.0
1126.0,0.68491,149.42,7405.007559,7404.520339,7.0
1127.0,0.68491,149.42,7404.520339,7404.033115,7.0
1128.0,0.68491,149.42,7404.033115,7403.68799,7.0
1129.0,0.68491,149.42,7403.68799,7403.342861,7.0
1130.0,0.68491,149.42,7403.342861,7402.855626,7.0
1131.0,0.68491,149.42,7402.855626,7402.510486,7.0
1132.0,0.68491,149.42,7402.510486,7402.023243,7.0
1133.0,0.68491,149.42,7402.023243,7401.535997,7.0
1134.0,0.68491,149.42,7401.535997,7401.192079,7.0
1135.0,0.68491,149.42,7401.192079,7400.704829,7.0
1136.0,0.68491,149.42,7400.704829,7400.217576,7.0
1137.0,0.68491,149.42,7400.217576,7399.730319,7.0
1138.0,0.68491,149.42,7399.730319,7399.243058,7.0
1139.0,0.68491,149.42,7399.243058,7398.755793,7.0
1140.0,0.68491,149.42,7398.755793,7398.410611,7.0
1141.0,0.68491,149.42,7398.410611,7397.923338,7.0
1142.0,0.68491,149.42,7397.923338,7397.57942,7.0
1143.0,0.68491,149.42,7397.57942,7397.092143,7.0
1144.0,0.68491,149.42,7397.092143,7396.746945,7.0
1145.0,0.68491,149.42,7396.746945,7396.259661,7.0
1146.0,0.68491,149.42,7396.259661,7395.772373,7.0
1147.0,0.68491,149.42,7395.772373,7395.285081,7.0
1148.0,0.68491,149.42,7395.285081,7394.939861,7.0
1149.0,0.68491,149.42,7394.939861,7394.452561,7.0
1150.0,0.68491,149.42,7394.452561,7394.108643,7.0
1151.0,0.68491,149.42,7394.108643,7393.621339,7.0
1152.0,0.68491,149.42,7393.621339,7393.276102,7.0
1153.0,0.68491,149.42,7393.276102,7392.930859,7.0
1154.0,0.68491,149.42,7392.930859,7392.443543,7.0
1155.0,0.68491,149.42,7392.443543,7391.956224,7.0
1156.0,0.68491,149.42,7391.956224,7391.610964,7.0
1157.0,0.68491,149.42,7391.610964,7391.265698,7.0
1158.0,0.68491,149.42,7391.265698,7390.778366,7.0
1159.0,0.68491,149.42,7390.778366,7390.29103,7.0
1160.0,0.68491,149.42,7390.29103,7389.945747,7.0
1161.0,0.68491,149.42,7389.945747,7389.600458,7.0
1162.0,0.68491,149.42,7389.600458,7389.11311,7.0
1163.0,0.68491,149.42,7389.11311,7388.625758,7.0
1164.0,0.68491,149.42,7388.625758,7388.280451,7.0
1165.0,0.68491,149.42,7388.280451,7387.793091,7.0
1166.0,0.68491,149.42,7387.793091,7387.305726,7.0
1167.0,0.68491,149.42,7387.305726,7386.818356,7.0
1168.0,0.68491,149.42,7386.818356,7386.473026,7.0
1169.0,0.68491,149.42,7386.473026,7386.12769,7.0
1170.0,0.68491,149.42,7386.12769,7385.640308,7.0
1171.0,0.68491,149.42,7385.640308,7385.294959,7.0
1172.0,0.68491,149.42,7385.294959,7384.807569,7.0
1173.0,0.68491,149.42,7384.807569,7384.462208,7.0
1174.0,0.68491,149.42,7384.462208,7384.116841,7.0
1175.0,0.68491,149.42,7384.116841,7383.629437,7.0
1176.0,0.68491,149.42,7383.629437,7383.284058,7.0
1177.0,0.68491,149.42,7383.284058,7382.796645,7.0
1178.0,0.68491,149.42,7382.796645,7381.684356,7.0
1179.0,0.68491,149.42,7381.684356,7381.197105,7.0
1180.0,0.68491,149.42,7381.197105,7380.851942,7.0
1181.0,0.68491,149.42,7380.851942,7380.364684,7.0
1182.0,0.68491,149.42,7380.364684,7379.877422,7.0
1183.0,0.68491,149.42,7379.877422,7379.390156,7.0
1184.0,0.68491,149.42,7379.390156,7379.044973,7.0
1185.0,0.68491,149.42,7379.044973,7378.699784,7.0
1186.0,0.68491,149.42,7378.699784,7378.212507,7.0
1187.0,0.68491,149.42,7378.212507,7377.725226,7.0
1188.0,0.68491,149.42,7377.725226,7377.380021,7.0
1189.0,0.68491,149.42,7377.380021,7377.034811,7.0
1190.0,0.68491,149.42,7377.034811,7376.547518,7.0
1191.0,0.68491,149.42,7376.547518,7376.060222,7.0
1192.0,0.68491,149.42,7376.060222,7375.714996,7.0
1193.0,0.68491,149.42,7375.714996,7375.369763,7.0
1194.0,0.68491,149.42,7375.369763,7374.882456,7.0
1195.0,0.68491,149.42,7374.882456,7374.537213,7.0
1196.0,0.68491,149.42,7374.537213,7374.049897,7.0
1197.0,0.68491,149.42,7374.049897,7373.704643,7.0
1198.0,0.68491,149.42,7373.704643,7373.359383,7.0
1199.0,0.68491,149.42,7373.359383,7372.872055,7.0
1200.0,0.68491,149.42,7372.872055,7372.526784,7.0
1201.0,0.68491,149.42,7372.526784,7372.181507,7.0
1202.0,0.68491,149.42,7372.181507,7371.836225,7.0
1203.0,0.68491,149.42,7371.836225,7371.348881,7.0
1204.0,0.68491,149.42,7371.348881,7371.003587,7.0
1205.0,0.68491,149.42,7371.003587,7370.516235,7.0
1206.0,0.68491,149.42,7370.516235,7370.170929,7.0
1207.0,0.68491,149.42,7370.170929,7369.825618,7.0
1208.0,0.68491,149.42,7369.825618,7369.338254,7.0
1209.0,0.68491,149.42,7369.338254,7368.992931,7.0
1210.0,0.68491,149.42,7368.992931,7368.505558,7.0
1211.0,0.68491,149.42,7368.505558,7368.160223,7.0
1212.0,0.68491,149.42,7368.160223,7367.672842,7.0
1213.0,0.68491,149.42,7367.672842,7367.327495,7.0
1214.0,0.68491,149.42,7367.327495,7366.840106,7.0
1215.0,0.68491,149.42,7366.840106,7366.494747,7.0
1216.0,0.68491,149.42,7366.494747,7366.149382,7.0
1217.0,0.68491,149.42,7366.149382,7365.66198,7.0
1218.0,0.68491,149.42,7365.66198,7365.316603,7.0
1219.0,0.68491,149.42,7365.316603,7364.971219,7.0
1220.0,0.68491,149.42,7364.971219,7364.62583,7.0
1221.0,0.68491,149.42,7364.62583,7364.13841,7.0
1222.0,0.68491,149.42,7364.13841,7363.793008,7.0
1223.0,0.68491,149.42,7363.793008,7363.4476,7.0
1224.0,0.68491,149.42,7363.4476,7363.102186,7.0
1225.0,0.68491,149.42,7363.102186,7362.756765,7.0
1226.0,0.68491,149.42,7362.756765,7362.411338,7.0
1227.0,0.68491,149.42,7362.411338,7361.923892,7.0
1228.0,0.68491,149.42,7361.923892,7361.578452,7.0
1229.0,0.68491,149.42,7361.578452,7361.233006,7.0
1230.0,0.68491,149.42,7361.233006,7360.887554,7.0
1231.0,0.68491,149.42,7360.887554,7360.400089,7.0
1232.0,0.68491,149.42,7360.400089,7360.054624,7.0
1233.0,0.68491,149.42,7360.054624,7359.709152,7.0
1234.0,0.68491,149.42,7359.709152,7359.363673,7.0
1235.0,0.68491,149.42,7359.363673,7358.87619,7.0
1236.0,0.68491,149.42,7358.87619,7358.530698,7.0
1237.0,0.68491,149.42,7358.530698,7358.043205,7.0
1238.0,0.68491,149.42,7358.043205,7357.6977,7.0
1239.0,0.68491,149.42,7357.6977,7357.352189,7.0
1240.0,0.68491,149.42,7357.352189,7357.00667,7.0
1241.0,0.68491,149.42,7357.00667,7356.519159,7.0
1242.0,0.68491,149.42,7356.519159,7356.173627,7.0
1243.0,0.68491,149.42,7356.173627,7355.828088,7.0
1244.0,0.68491,149.42,7355.828088,7355.482542,7.0
1245.0,0.68491,149.42,7355.482542,7354.995011,7.0
1246.0,0.68491,149.42,7354.995011,7354.649451,7.0
1247.0,0.68491,149.42,7354.649451,7354.303885,7.0
1248.0,0.68491,149.42,7354.303885,7353.958311,7.0
1249.0,0.68491,149.42,7353.958311,7353.612731,7.0
1250.0,0.68491,149.42,7353.612731,7353.267143,7.0
1251.0,0.68491,149.42,7353.267143,7352.921549,7.0
1252.0,0.68491,149.42,7352.921549,7352.575947,7.0
1253.0,0.68491,149.42,7352.575947,7352.230338,7.0
1254.0,0.68491,149.42,7352.230338,7351.884722,7.0
1255.0,0.68491,149.42,7351.884722,7351.397141,7.0
1256.0,0.68491,149.42,7351.397141,7351.051511,7.0
1257.0,0.68491,149.42,7351.051511,7350.705873,7.0
1258.0,0.68491,149.42,7350.705873,7350.360228,7.0
1259.0,0.68491,149.42,7350.360228,7349.872626,7.0
1260.0,0.68491,149.42,7349.872626,7349.526967,7.0
1261.0,0.68491,149.42,7349.526967,7349.181299,7.0
1262.0,0.68491,149.42,7349.181299,7348.835625,7.0
1263.0,0.68491,149.42,7348.835625,7348.489943,7.0
1264.0,0.68491,149.42,7348.489943,7348.144253,7.0
1265.0,0.68491,149.42,7348.144253,7347.798556,7.0
1266.0,0.68491,149.42,7347.798556,7347.452851,7.0
1267.0,0.68491,149.42,7347.452851,7347.107139,7.0
1268.0,0.68491,149.42,7347.107139,7346.761418,7.0
1269.0,0.68491,149.42,7346.761418,7346.415691,7.0
1270.0,0.68491,149.42,7346.415691,7346.069955,7.0
1271.0,0.68491,149.42,7346.069955,7345.724212,7.0
1272.0,0.68491,149.42,7345.724212,7345.378461,7.0
1273.0,0.68491,149.42,7345.378461,7345.032702,7.0
1274.0,0.68491,149.42,7345.032702,7344.686935,7.0
1275.0,0.68491,149.42,7344.686935,7344.34116,7.0
1276.0,0.68491,149.42,7344.34116,7343.995378,7.0
1277.0,0.68491,149.42,7343.995378,7343.649587,7.0
1278.0,0.68491,149.42,7343.649587,7343.303788,7.0
1279.0,0.68491,149.42,7343.303788,7342.957981,7.0
1280.0,0.68491,149.42,7342.957981,7342.612166,7.0
1281.0,0.68491,149.42,7342.612166,7342.266343,7.0
1282.0,0.68491,149.42,7342.266343,7341.920512,7.0
1283.0,0.68491,149.42,7341.920512,7341.574673,7.0
1284.0,0.68491,149.42,7341.574673,7341.228825,7.0
1285.0,0.68491,149.42,7341.228825,7340.882969,7.0
1286.0,0.68491,149.42,7340.882969,7340.537104,7.0
1287.0,0.68491,149.42,7340.537104,7340.191231,7.0
