Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,Shear Stress,Order
54.0,1.3043,879.83,5694.495312,5694.344207,1.6963508449011124,9.0
56.0,1.3043,879.83,5694.344207,5694.130512,1.6963508449011124,9.0
57.0,1.3043,879.83,5694.130512,5693.916817,1.6963508449011124,9.0
58.0,1.3043,879.83,5693.916817,5693.703122,1.6963508449011124,9.0
59.0,1.3043,879.83,5693.703122,5693.489426,1.6963508449011124,9.0
60.0,1.3043,879.83,5693.489426,5693.275731,1.6963508449011124,9.0
61.0,1.3043,879.83,5693.275731,5693.062036,1.6963508449011124,9.0
62.0,1.3043,879.83,5693.062036,5692.848341,1.6963508449011124,9.0
63.0,1.3043,879.83,5692.848341,5692.697235,1.6963508449011124,9.0
64.0,1.3043,879.83,5692.697235,5692.54613,1.6963508449011124,9.0
65.0,1.3043,879.83,5692.54613,5692.395024,1.6963508449011124,9.0
66.0,1.3043,879.83,5692.395024,5692.243919,1.6963508449011124,9.0
67.0,1.3043,879.83,5692.243919,5692.092813,1.6963508449011124,9.0
68.0,1.3043,879.83,5692.092813,5691.941708,1.6963508449011124,9.0
69.0,1.3043,879.83,5691.941708,5691.790602,1.6963508449011124,9.0
70.0,1.3043,879.83,5691.790602,5691.639497,1.6963508449011124,9.0
71.0,1.3043,879.83,5691.639497,5691.488391,1.6963508449011124,9.0
72.0,1.3043,879.83,5691.488391,5691.274696,1.6963508449011124,9.0
73.0,1.3043,879.83,5691.274696,5691.12359,1.6963508449011124,9.0
74.0,1.3043,879.83,5691.12359,5690.909895,1.6963508449011124,9.0
75.0,1.3043,879.83,5690.909895,5690.758789,1.6963508449011124,9.0
76.0,1.3043,879.83,5690.758789,5690.607683,1.6963508449011124,9.0
77.0,1.3043,879.83,5690.607683,5690.456578,1.6963508449011124,9.0
78.0,1.3043,879.83,5690.456578,5690.305472,1.6963508449011124,9.0
79.0,1.3043,879.83,5690.305472,5690.154366,1.6963508449011124,9.0
80.0,1.3043,879.83,5690.154366,5690.00326,1.6963508449011124,9.0
81.0,1.3043,879.83,5690.00326,5689.852154,1.6963508449011124,9.0
82.0,1.3043,879.83,5689.852154,5689.701048,1.6963508449011124,9.0
83.0,1.3043,879.83,5689.701048,5689.549942,1.6963508449011124,9.0
84.0,1.3043,879.83,5689.549942,5689.398836,1.6963508449011124,9.0
85.0,1.3043,879.83,5689.398836,5689.24773,1.6963508449011124,9.0
86.0,1.3043,879.83,5689.24773,5689.096623,1.6963508449011124,9.0
87.0,1.3043,879.83,5689.096623,5688.945517,1.6963508449011124,9.0
88.0,1.3043,879.83,5688.945517,5688.794411,1.6963508449011124,9.0
89.0,1.3043,879.83,5688.794411,5688.643305,1.6963508449011124,9.0
90.0,1.3043,879.83,5688.643305,5688.492198,1.6963508449011124,9.0
91.0,1.3043,879.83,5688.492198,5688.341092,1.6963508449011124,9.0
92.0,1.3043,879.83,5688.341092,5688.189985,1.6963508449011124,9.0
93.0,1.3043,879.83,5688.189985,5688.038879,1.6963508449011124,9.0
94.0,1.3043,879.83,5688.038879,5687.887772,1.6963508449011124,9.0
95.0,1.3043,879.83,5687.887772,5687.736665,1.6963508449011124,9.0
96.0,1.3043,879.83,5687.736665,5687.585558,1.6963508449011124,9.0
97.0,1.3043,879.83,5687.585558,5687.434452,1.6963508449011124,9.0
98.0,1.3043,879.83,5687.434452,5687.283345,1.6963508449011124,9.0
99.0,1.3043,879.83,5687.283345,5687.132238,1.6963508449011124,9.0
100.0,1.3043,879.83,5687.132238,5686.981131,1.6963508449011124,9.0
101.0,1.3043,879.83,5686.981131,5686.830023,1.6963508449011124,9.0
102.0,1.3043,879.83,5686.830023,5686.678916,1.6963508449011124,9.0
103.0,1.3043,879.83,5686.678916,5686.527809,1.6963508449011124,9.0
104.0,1.3043,879.83,5686.527809,5686.376702,1.6963508449011124,9.0
105.0,1.3043,879.83,5686.376702,5686.225594,1.6963508449011124,9.0
106.0,1.3043,879.83,5686.225594,5686.074487,1.6963508449011124,9.0
107.0,1.3043,879.83,5686.074487,5685.923379,1.6963508449011124,9.0
108.0,1.3043,879.83,5685.923379,5685.772271,1.6963508449011124,9.0
109.0,1.3043,879.83,5685.772271,5685.621164,1.6963508449011124,9.0
110.0,1.3043,879.83,5685.621164,5685.470056,1.6963508449011124,9.0
111.0,1.3043,879.83,5685.470056,5685.318948,1.6963508449011124,9.0
112.0,1.3043,879.83,5685.318948,5685.16784,1.6963508449011124,9.0
113.0,1.3043,879.83,5685.16784,5685.016732,1.6963508449011124,9.0
114.0,1.3043,879.83,5685.016732,5684.865624,1.6963508449011124,9.0
115.0,1.3043,879.83,5684.865624,5684.714515,1.6963508449011124,9.0
116.0,1.3043,879.83,5684.714515,5684.563407,1.6963508449011124,9.0
117.0,1.3043,879.83,5684.563407,5684.412298,1.6963508449011124,9.0
118.0,1.3043,879.83,5684.412298,5684.26119,1.6963508449011124,9.0
119.0,1.3043,879.83,5684.26119,5684.110081,1.6963508449011124,9.0
120.0,1.3043,879.83,5684.110081,5683.958972,1.6963508449011124,9.0
121.0,1.3043,879.83,5683.958972,5683.807864,1.6963508449011124,9.0
122.0,1.3043,879.83,5683.807864,5683.656755,1.6963508449011124,9.0
123.0,1.3043,879.83,5683.656755,5683.505646,1.6963508449011124,9.0
124.0,1.3043,879.83,5683.505646,5683.291948,1.6963508449011124,9.0
125.0,1.3043,879.83,5683.291948,5683.07825,1.6963508449011124,9.0
126.0,1.3043,879.83,5683.07825,5682.864552,1.6963508449011124,9.0
127.0,1.3043,879.83,5682.864552,5682.650853,1.6963508449011124,9.0
128.0,1.3043,879.83,5682.650853,5682.499744,1.6963508449011124,9.0
129.0,1.3043,879.83,5682.499744,5682.348634,1.6963508449011124,9.0
